index,year,title,authors,venue,doi,cited_by_count_openalex,openalex_id,pdf_url,pdf_file,relevance_score
1,1990,Active control of stationary random sound fields,P.A. Nelson; J.K. Hammond; P.F. Joseph; S.J. Elliott,The Journal of the Acoustical Society of America,10.1121/1.399432,23,https://openalex.org/W2051164404,,,13.23
2,1990,The development of the filtered-U algorithm for active noise control,L. J. Eriksson,The Journal of the Acoustical Society of America,10.1121/1.2028384,178,https://openalex.org/W2131220119,https://asa.scitation.org/doi/pdf/10.1121/1.2028384,,14.28
3,1991,Current and future issues of active noise control.,Jiří Tichý,Journal of the Acoustical Society of Japan (E),10.1250/ast.12.255,22,https://openalex.org/W2035356557,https://www.jstage.jst.go.jp/article/ast1980/12/6/12_6_255/_pdf,003_1991_Tichý_current_and_future_issues_of_active_noise_control.pdf,14.72
4,1991,Effect of errors in the plant model on the performance of algorithms for adaptive feedforward control,C.C. Boucher; Stephen N. Elliott; P.A. Nelson,IEE Proceedings F Radar and Signal Processing,10.1049/ip-f-2.1991.0042,83,https://openalex.org/W1998213224,,,18.83
5,1992,Active Control of Compressor Noise Radiation Using Piezoelectric Actuators,Alan R. Masters; S. J. Kim; James D. Jones,Purdue e-Pubs (Purdue University System),,4,https://openalex.org/W1492927963,https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=1821&context=icec,,14.54
6,1992,Active Noise Control: A Tutorial Review,P.A. Nelson; Stephen J. Elliott,IEICE Transactions on Fundamentals of Electronics Communications and Computer Sciences,,781,https://openalex.org/W3169801697,,,13.0
7,1993,A new approach for active control of sound transmission through an elastic plate backed by a rectangular cavity,Shozo Koshigoe; J. Gillis; Eric T. Falangas,The Journal of the Acoustical Society of America,10.1121/1.408191,37,https://openalex.org/W1985214060,,,14.87
8,1993,Active noise control,Stephen N. Elliott; P.A. Nelson,IEEE Signal Processing Magazine,10.1109/79.248551,832,https://openalex.org/W2080773601,,,15.0
9,1994,Single-sensor active noise cancellation,Alan V. Oppenheim; E. Weinstein; K.C. Zangi; Meir Feder; Dan Gauger,IEEE Transactions on Speech and Audio Processing,10.1109/89.279277,82,https://openalex.org/W1990408204,,,10.82
10,1995,Analysis of the filtered-X LMS algorithm,E. Bjarnason,IEEE Transactions on Speech and Audio Processing,10.1109/89.482218,260,https://openalex.org/W2133635346,,,15.6
11,1996,Passband disturbance reduction in periodic active noise control systems,S.M. Kuo; Min-Woo Ji,IEEE Transactions on Speech and Audio Processing,10.1109/89.486059,39,https://openalex.org/W2074965838,,,14.89
12,1997,Filtered-X second-order Volterra adaptive algorithms,Tân; Jiang Jiang,Electronics Letters,10.1049/el:19970477,58,https://openalex.org/W2029915997,,,14.58
13,1998,Active control of nonlinear noise processes in a linear duct,P. Strauch; B. Mulgrew,IEEE Transactions on Signal Processing,10.1109/78.709529,135,https://openalex.org/W2103103563,,,15.85
14,1999,Fast implementations of the filtered-X LMS and LMS algorithms for multichannel active noise control,S.C. Douglas,IEEE Transactions on Speech and Audio Processing,10.1109/89.771315,100,https://openalex.org/W2111276053,,,17.0
15,2000,Active Noise Feedback Control Using a Neural Network,Zhang Qizhi; Jia Yongle,Shock and Vibration,10.1155/2001/604583,5,https://openalex.org/W1978817102,https://downloads.hindawi.com/journals/sv/2001/604583.pdf,,17.05
16,2001,Adaptive Volterra filters for active control of nonlinear noise processes,Li Tan; Jean Jiang,IEEE Transactions on Signal Processing,10.1109/78.934136,355,https://openalex.org/W2169692087,,,25.55
17,2002,Nonlinear active noise control in a linear duct,P. Strauch; B. Mulgrew,,10.1109/icassp.1997.599656,6,https://openalex.org/W2112813264,,,18.56
18,2003,Active noise cancellation using recurrent radial basis function neural networks,R. Bambang,Asia Pacific Conference on Circuits and Systems,10.1109/apccas.2002.1115201,7,https://openalex.org/W1582480406,,,20.07
19,2004,Active Mitigation of Nonlinear Noise Processes Using a Novel Filtered-s LMS Algorithm,Debi Prasad Das; Ganapati Panda,IEEE Transactions on Speech and Audio Processing,10.1109/tsa.2003.822741,267,https://openalex.org/W2123193976,,,23.17
20,2005,Nonlinear adaptive bilinear filters for active noise control systems,S.M. Kuo; Hsien–Tsai Wu,IEEE Transactions on Circuits and Systems I Fundamental Theory and Applications,10.1109/tcsi.2004.842429,128,https://openalex.org/W2104917784,,,21.78
21,2006,Genetic Optimization in Nonlinear Systems for Active Noise Control: Accuracy and Performance Evaluation,F. Russo,Conference proceedings - IEEE Instrumentation/Measurement Technology Conference,10.1109/imtc.2006.236682,9,https://openalex.org/W2154525087,,,22.09
22,2007,Accuracy and Performance Evaluation in the Genetic Optimization of Nonlinear Systems for Active Noise Control,F. Russo; Giovanni L. Sicuranza,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2007.899911,56,https://openalex.org/W2119308558,,,22.56
23,2008,An Energy Function Based Fuzzy Variable Step Size FxLMS Algorithm for Active Noise Control,Naresh kunchakoori; Aurobinda Routray; Devadatta Das,,10.1109/iciinfs.2008.4798476,14,https://openalex.org/W2539406560,,,20.14
24,2009,Adaptive second-order Volterra filtered-X RLS algorithms with sequential and partial updates for nonlinear active noise control,Li Tan; Jean Jiang,,10.1109/iciea.2009.5138470,29,https://openalex.org/W2122438863,,,18.79
25,2010,A novel active noise control using neural networks without the secondary path identification,Xinghua Zhang; Xuemei Ren,,10.1109/wcica.2010.5554646,1,https://openalex.org/W2020620469,,,15.51
26,2010,Active Noise Cancellation Without Secondary Path Identification by Using an Adaptive Genetic Algorithm,Cheng‐Yuan Chang; Deng-Rui Chen,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2009.2036410,104,https://openalex.org/W2114115507,,,23.04
27,2010,Active Noise Control Algorithm Based on a Neural Network and Nonlinear Input-Output System Identification Model,T. Krukowicz,Archives of Acoustics,10.2478/v10168-010-0018-0,17,https://openalex.org/W2010352567,,,14.17
28,2010,Multi-channel hybrid active noise control system for infant incubators,Kapila Beemanpally; Karunakar Reddy Pottim; Sen M. Kuo,,10.1109/eit.2010.5612171,5,https://openalex.org/W1986584224,,,14.05
29,2010,Nonlinear active noise control based on neural networks compensation,Xinghua Zhang; Xue Mei Ren; Jing Na,Explore Bristol Research,,0,https://openalex.org/W1763190816,,,15.5
30,2011,Active Control of Vehicle Powertrain and Road Noise,Jie Duan,OhioLink ETD Center (Ohio Library and Information Network),,11,https://openalex.org/W68493082,http://rave.ohiolink.edu/etdc/view?acc_num=ucin1312479913,,18.61
31,2011,Adaptive Extended Pipelined Second-Order Volterra Filter for Nonlinear Active Noise Controller,Haiquan Zhao; Xiangping Zeng; Xiaoqiang Zhang; Zhengyou He; Tianrui Li; Weidong Zhao,IEEE Transactions on Audio Speech and Language Processing,10.1109/tasl.2011.2175383,42,https://openalex.org/W2089464789,,,19.42
32,2011,Legendre Neural Network for nonlinear Active Noise Cancellation with nonlinear secondary path,Kunal Kumar Das; J.K. Satapathy,,10.1109/mspct.2011.6150515,14,https://openalex.org/W2070289601,,,18.64
33,2011,On the BIBO Stability Condition of Adaptive Recursive FLANN Filters With Application to Nonlinear Active Noise Control,Giovanni L. Sicuranza; Alberto Carini,IEEE Transactions on Audio Speech and Language Processing,10.1109/tasl.2011.2159788,82,https://openalex.org/W2155220711,,,19.82
34,2011,Recursive controllers for nonlinear active noise control,Giovanni L. Sicuranza; Alberto Carini,ArTS Archivio della ricerca di Trieste (University of Trieste https://www.units.it/),,5,https://openalex.org/W1606400646,,,20.05
